sample_id,type,condition,answer,prediction,em,token_f1,nll,manual_c_p_w
5a7b40cd5542995eb53be8d4,comparison,question_only,Golf Digest,"To determine which magazine has been around longer, Guitar World or Golf Digest, we need to look at their founding dates. Guitar World was first published in 1977, while Golf Digest was established in 1945. Comparing these two dates, Golf Digest was founded earlier than Guitar World. Therefore",0.0,0.07999999999999999,12.727783203125,
5aba749055429901930fa7d8,comparison,question_only,director,"Both Chris Menges and Aram Avakian are musicians. Chris Menges is known for his work as a composer and musician, particularly in the realm of electronic music and film scores. Aram Avakian, on the other hand, is a renowned record producer and engineer, known for his work with various artists",0.0,0.0,26.231399536132812,
5ab615cf554299488d4d9aa3,bridge,question_only,our greatest comedienne,"The answer is ""Desi Arnaz.""

But wait, the question is about Dawn Lake describing the star of ""I Love Lucy"" as what. Let me think again. Dawn Lake is a person, but I'm not sure about her connection to ""I Love Lucy."" Maybe it's a trick question or a reference",0.0,0.0,12.088297843933105,
5a8b42be55429949d91db515,comparison,question_only,novelist,"Both are authors.
Okay, so I need to figure out what profession John Lanchester and Alan Dean Foster have in common. Let me start by recalling what I know about these two authors.

First, John Lanchester. I remember he's a British author, right? He's written novels, maybe some non",0.0,0.0,18.193235397338867,
5a7b40cd5542995eb53be8d4,comparison,supporting_text,Golf Digest,"Guitar World has been around longer than Golf Digest. Guitar World was first published in July 1980, while Golf Digest was first published in 1950.

Step-by-Step Explanation:
1. Identify the publication years for both magazines.
   - Guitar World: According to the document, Guitar World",0.0,0.09302325581395349,11.486193656921387,
5aba749055429901930fa7d8,comparison,supporting_text,director,Both Chris Menges and Aram Avakian are film directors.,0.0,0.0,17.225852966308594,
5ab615cf554299488d4d9aa3,bridge,supporting_text,our greatest comedienne,"The answer is ""Lucille Ball"". The question asks what Dawn Lake described the star of ""I Love Lucy"" as. From the document about Dawn Lake, Sentence 1 states that Bert Newton described her as ""our greatest comedienne - Australia's Lucille Ball"". However, this is a description of Dawn Lake herself",0.0,0.1276595744680851,9.455886840820312,
5a8b42be55429949d91db515,comparison,supporting_text,novelist,Both John Lanchester and Alan Dean Foster are authors.,0.0,0.0,17.494140625,
5a7b40cd5542995eb53be8d4,comparison,native4_correct,Golf Digest,"Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been around longer, Guitar World or Golf Digest?

Answer: Which magazine has been",0.0,0.07407407407407407,8.62838077545166,
5aba749055429901930fa7d8,comparison,native4_correct,director,Chris Menges and Aram Avokianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianianian,0.0,0.0,17.9560489654541,
5ab615cf554299488d4d9aa3,bridge,native4_correct,our greatest comedienne,"Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer: Dawn Lake described the star of ""I Love Lucy"" as what?

Answer:",0.0,0.0,9.291932106018066,
5a8b42be55429949d91db515,comparison,native4_correct,novelist,"The profession does John Lanchester and Alan Dean Foster have in common is the author of fantasy and science fiction.

Answer: The profession does John Lanchester and Alan Dean Foster have in common is the author of fantasy and science fiction.

Answer: The profession does John Lanchester and Alan Dean Foster have in common",0.0,0.0,15.391740798950195,
