id,type,condition,answer,prediction,em,token_f1,nll,reader_protocol,manual_correct,manual_partial,manual_wrong
5a80735b554299485f5985f3,bridge,question_only,venue Heaven,"The location under Charing Cross railway station that G-A-Y moved to is the **Charing Cross Station concourse**. 

G-A-Y, a British comedy sketch group, relocated their performance space from the original venue to the concourse area of Charing Cross railway station. This move allowed them to continue their performances",0.0,0.04444444444444444,15.7112455368042,full36_reader,,,
5ac3a0db554299391541383a,bridge,question_only,Saint Paul,"Phyllis Kohn is a fictional character from the TV show ""The Office (US)"" and is not a real person. Therefore, she does not hold a seat in the House of Representatives. The House of Representatives is the lower house of the United States Congress, and meets in the United States Capitol in Washington,",0.0,0.0,11.00836181640625,full36_reader,,,
5a8318dd55429940e5e1a95e,bridge,question_only,Brian Yorkey,"The musical ""If/Then"" has a theatrical score by Lin-Manuel Miranda, who won the Tony Award and 2008 Outer Critics Circle Award. However, the question is asking who made the musical, which is the composer and lyricist. Lin-Manuel Miranda is the creator of the musical ""If",0.0,0.0,5.5823469161987305,full36_reader,,,
5a8c6342554299240d9c214a,bridge,question_only,Kelly Bundy,"Maude

Okay, let's see. The question is about Claudine's Return and the actress who played a role on ""Married...with Children."" I need to figure out which role that is.

First, I remember that ""Claudine's Return"" is a movie, but I'm not sure about",0.0,0.0,7.251026153564453,full36_reader,,,
5a8adbf55542992d82986fab,bridge,question_only,over 150 films,"45
Okay, let's see. The question is asking how many films Hans Zimmer has composed music for since the 19080's. Wait, that's a typo. Probably meant 1980s. Because 19080's doesn't make sense. So,",0.0,0.0606060606060606,4.0229973793029785,full36_reader,,,
5a8d263f554299653c1aa139,bridge,question_only,1999,"1985
The band that sang ""Gives You Hell"" is The Offspring. They formed in 1985. The song ""Gives You Hell"" is from their debut album ""The Young, The Hopeless, The Unbelieving"" released in 1985.",0.0,0.0,3.165022850036621,full36_reader,,,
5adfb790554299603e418389,comparison,question_only,plant genus,"Both are plants.

But wait, that seems too simple. Let me think again. Eragrostis is a genus of grasses, commonly known as buffalo grass or false brome. Rhexia is a genus of flowering plants in the family Campanulaceae. So, they are both plants, but",0.0,0.046511627906976744,9.194308280944824,full36_reader,,,
5a839c8b5542996488c2e479,bridge,question_only,Lord Chancellor of England,"William Shakespeare

Okay, let's try to figure out this question. The question is about James Spedding, who was the editor of the works of an author. The author in question served both as Attorney General and as what? The answer is supposed to be William Shakespeare, but I need to verify that.

First",0.0,0.0392156862745098,5.933108329772949,full36_reader,,,
5abec9b25542997ec76fd366,bridge,question_only,"Ravenna (] , also locally ] ; Romagnol: ""Ravèna"" ) is the capital city of the Province of Ravenna","Ravenna
The Ostrogothic Kingdom was a kingdom in the western part of the Roman Empire after the fall of the Western Roman Empire. It was established by the Ostrogoths, a Germanic people, in 496 AD. The capital of the Ostrogothic Kingdom was Ravenna,",0.0,0.2222222222222222,3.239281415939331,full36_reader,,,
5ab859a955429934fafe6d7b,bridge,question_only,Phil Spector,"The writer of the song is **Neil Young**. 

**Step-by-Step Explanation:**
1. **Identify the Song:** The song in question is ""The Joke's on Me"" by Neil Young.
2. **Inspiration:** It was inspired by words on a tombstone, which is a",0.0,0.0,7.0344367027282715,full36_reader,,,
