answer_f1,final_answer_exact_match,first_error_step,generated_len,gold_final_answer,gold_len,id,method,pred_final_answer,prefix_survival_length,sample
0.27083333333333337,0.0,0,96,18,59,,native,2,0,0
0.0,0.0,0,96,18,59,,mse_only,answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer,0,0
0.0,0.0,0,96,18,59,,paper_rec_then_mixed_generation,1988,0,0
0.0,0.0,0,96,18,59,,q_aware_functional,1996,0,0
0.4,0.0,0,96,3,47,,native,1,0,1
0.046511627906976744,0.0,0,96,3,47,,mse_only,answer is okay so i need to answer question that was presented question was answer answer is and user provided answer user provided answer answer is okay so i need to answer question that was presented question was answer answer is and user provided answer user provided answer answer is okay so i need to answer question that,0,1
0.0,0.0,0,96,3,47,,paper_rec_then_mixed_generation,2014,0,1
0.10309278350515463,0.0,0,96,3,47,,q_aware_functional,1983,0,1
0.42477876106194684,0.0,0,96,70000,210,,native,80000,0,2
0.04301075268817204,0.0,0,96,70000,210,,mse_only,5,0,2
0.0,0.0,0,96,70000,210,,paper_rec_then_mixed_generation,1999,0,2
0.04477611940298507,0.0,1,96,70000,210,,q_aware_functional,1997,1,2
0.12765957446808512,1.0,0,96,540,47,,native,540,0,3
0.0,0.0,0,96,540,47,,mse_only,answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is answer is,0,3
0.0,0.0,0,96,540,47,,paper_rec_then_mixed_generation,2014,0,3
0.0,0.0,0,96,540,47,,q_aware_functional,1980,0,3
0.4426229508196721,0.0,0,96,20,108,,native,25,0,4
0.0,0.0,0,96,20,108,,mse_only,answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer,0,4
0.036036036036036036,0.0,0,96,20,108,,paper_rec_then_mixed_generation,1988,0,4
0.05263157894736842,0.0,0,96,20,108,,q_aware_functional,1990,0,4
0.35211267605633806,0.0,0,96,64,171,,native,60,0,5
0.0,0.0,1,96,64,171,,mse_only,k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer k answer,1,5
