sample_id,type,condition,answer,prediction,em,token_f1,nll,manual_c_p_w
5a80735b554299485f5985f3,bridge,question_only,venue Heaven,"The location under Charing Cross railway station that G-A-Y moved to is the **Charing Cross Station concourse**. 

G-A-Y, a British comedy sketch group, relocated their performance space from the original venue to the concourse area of Charing Cross railway station. This move allowed them to continue their performances",0.0,0.04444444444444444,15.7112455368042,
5ac3a0db554299391541383a,bridge,question_only,Saint Paul,"Phyllis Kohn is a fictional character from the TV show ""The Office (US)"" and is not a real person. Therefore, she does not hold a seat in the House of Representatives. The House of Representatives is the lower house of the United States Congress, and meets in the United States Capitol in Washington,",0.0,0.0,11.00836181640625,
5a8318dd55429940e5e1a95e,bridge,question_only,Brian Yorkey,"The musical ""If/Then"" has a theatrical score by Lin-Manuel Miranda, who won the Tony Award and 2008 Outer Critics Circle Award. However, the question is asking who made the musical, which is the composer and lyricist. Lin-Manuel Miranda is the creator of the musical ""If",0.0,0.0,5.5823469161987305,
5a8c6342554299240d9c214a,bridge,question_only,Kelly Bundy,"Maude

Okay, let's see. The question is about Claudine's Return and the actress who played a role on ""Married...with Children."" I need to figure out which role that is.

First, I remember that ""Claudine's Return"" is a movie, but I'm not sure about",0.0,0.0,7.251026153564453,
5a8adbf55542992d82986fab,bridge,question_only,over 150 films,"45
Okay, let's see. The question is asking how many films Hans Zimmer has composed music for since the 19080's. Wait, that's a typo. Probably meant 1980s. Because 19080's doesn't make sense. So,",0.0,0.0606060606060606,4.0229973793029785,
5a8d263f554299653c1aa139,bridge,question_only,1999,"1985
The band that sang ""Gives You Hell"" is The Offspring. They formed in 1985. The song ""Gives You Hell"" is from their debut album ""The Young, The Hopeless, The Unbelieving"" released in 1985.",0.0,0.0,3.165022850036621,
5adfb790554299603e418389,comparison,question_only,plant genus,"Both are plants.

But wait, that seems too simple. Let me think again. Eragrostis is a genus of grasses, commonly known as buffalo grass or false brome. Rhexia is a genus of flowering plants in the family Campanulaceae. So, they are both plants, but",0.0,0.046511627906976744,9.194308280944824,
5a839c8b5542996488c2e479,bridge,question_only,Lord Chancellor of England,"William Shakespeare

Okay, let's try to figure out this question. The question is about James Spedding, who was the editor of the works of an author. The author in question served both as Attorney General and as what? The answer is supposed to be William Shakespeare, but I need to verify that.

First",0.0,0.0392156862745098,5.933108329772949,
5abec9b25542997ec76fd366,bridge,question_only,"Ravenna (] , also locally ] ; Romagnol: ""Ravèna"" ) is the capital city of the Province of Ravenna","Ravenna
The Ostrogothic Kingdom was a kingdom in the western part of the Roman Empire after the fall of the Western Roman Empire. It was established by the Ostrogoths, a Germanic people, in 496 AD. The capital of the Ostrogothic Kingdom was Ravenna,",0.0,0.2222222222222222,3.239281415939331,
5ab859a955429934fafe6d7b,bridge,question_only,Phil Spector,"The writer of the song is **Neil Young**. 

**Step-by-Step Explanation:**
1. **Identify the Song:** The song in question is ""The Joke's on Me"" by Neil Young.
2. **Inspiration:** It was inspired by words on a tombstone, which is a",0.0,0.0,7.0344367027282715,
5a7d2b535542995f4f402224,comparison,question_only,Dartmouth College,"Dartmouth College is older than Cornell University. Dartmouth was founded in 1769, while Cornell was founded in 1865. Therefore, Dartmouth College is older.
Dartmouth College is older than Cornell University. Dartmouth was founded in 1769, while Cornell was founded",0.0,0.09756097560975609,5.861100196838379,
5ae7b6055542993210983f00,bridge,question_only,La Familia Michoacana,"The answer is: **Crimson Circle**. 

The Crimson Circle is a Mexican drug cartel that was founded and led by Carlos Alberto Rosales Mendoza. It is known for its violent activities and its association with other drug cartels in Mexico. Osiel Cárdenas Guillén, a prominent figure",0.0,0.0,2.665727376937866,
5adf81105542992d7e9f9388,bridge,question_only,"a syllabic abbreviation from ""Triangle Below Canal Street","The name of the neighborhood is derived from the fact that it was the site of the first public school in the city.

Okay, so I need to figure out the origin of the name of the neighborhood where 359 Broadway is located. The answer given is that it's because it was the site of the first",0.0,0.038461538461538464,8.159697532653809,
5ae4e29855429908b63264a9,bridge,question_only,city of Culiacán,"The team that Flavio de Jesús Santos plays for is the San Antonio Spurs, and they play their home games at the AT&T Center. 

But wait, I need to check if that's correct. Flavio de Jesús Santos is a player, but I'm not sure if he's currently on the San",0.0,0.0,8.126540184020996,
5ac2bbd0554299218029db09,bridge,question_only,American,"English

The author of The Thing of It Is... is English. The book is a collection of short stories, and the author is known for his work in the fantasy and science fiction genres. The author's nationality is English, which is a common characteristic among many writers in the literary world. The book itself is a",0.0,0.0,8.692720413208008,
5ae25d2b554299495565da46,comparison,question_only,21,"Brian Gottfried has more singles titles than Peter Fleming. Brian Gottfried won 11 singles titles during his career, while Peter Fleming won 10 singles titles. Therefore, Brian Gottfried has more singles titles. 

But wait, I need to verify the exact numbers. Let me check the records. Brian Gott",0.0,0.0,8.714826583862305,
